;Label;Split;Style;Action;Business Object;Tags
0;12 funnel management;[u'12', u'funnel', u'management'];AN;manage;funnel 12ly;12<>START_INT, funnel<>ANO, management<>ANV, 
1;12 funnel management;[u'12', u'funnel', u'management'];AN;manage;funnel 12ly;12<>START_INT, funnel<>ANO, management<>ANV, 
2;12 funnel management;[u'12', u'funnel', u'management'];AN;manage;funnel 12ly;12<>START_INT, funnel<>ANO, management<>ANV, 
3;12 funnel management;[u'12', u'funnel', u'management'];AN;manage;funnel 12ly;12<>START_INT, funnel<>ANO, management<>ANV, 
4;12 funnel management;[u'12', u'funnel', u'management'];AN;manage;funnel 12ly;12<>START_INT, funnel<>ANO, management<>ANV, 
5;1st line support;[u'1st', u'line', u'support'];AN;support;line 1stly;1st<>ORDINALAN, line<>ANO, support<>ANV, 
0;1st test cycle;[u'1st', u'test', u'cycle'];NA;;1st test cycle;1st<>ORDINALNA, test<>NAO, cycle<>NAO, 
6;2 converged product fulfillment;[u'2', u'converged', u'product', u'fulfillment'];AN;fulfill;converged product 2ly;2<>START_INT, converged<>ANO, product<>ANO, fulfillment<>ANV, 
7;2 converged product fulfillment;[u'2', u'converged', u'product', u'fulfillment'];AN;fulfill;converged product 2ly;2<>START_INT, converged<>ANO, product<>ANO, fulfillment<>ANV, 
8;2 converged product fulfillment;[u'2', u'converged', u'product', u'fulfillment'];AN;fulfill;converged product 2ly;2<>START_INT, converged<>ANO, product<>ANO, fulfillment<>ANV, 
9;2 converged product fulfillment order to cash;[u'2', u'converged', u'product', u'fulfillment', u'order', u'to', u'cash'];AN;close;customer order;2<>START_INT, converged<>misc-AN, product<>misc-AN, fulfillment<>misc-AN, order<>ANO, to<>C-AN, cash<>misc-AN, 
10;2 converged product fulfillment order to cash;[u'2', u'converged', u'product', u'fulfillment', u'order', u'to', u'cash'];AN;close;customer order;2<>START_INT, converged<>misc-AN, product<>misc-AN, fulfillment<>misc-AN, order<>ANO, to<>C-AN, cash<>misc-AN, 
11;21 order intake and planning;[u'21', u'order', u'intake', u'and', u'planning'];AN;intake, plan;21 order;21<>START_INT, order<>ANO, intake<>ANV, and<>AND-AN, planning<>ANV, 
