Label;Split;Style;Action;Business Object;Addition;Tags
1st test cycle;;NA;;1st test cycle;;
2nd test cycle;;NA;;2nd test cycle;;
academic committee decision;;AN;decision;academic committee;;
academic recognition agency verification;;AN;verification;academic recognition agency;;
accept;;VO;accept;;;
accept bike;;VO;accept;bike;;
accept claim;;VO;accept;claim;;
accept coffee;;VO;accept;coffee;;
accept customer po;;VO;accept;customer po;;
accept da;;VO;accept;da;;
accept date;;VO;accept;date;;
accept date for meeting;;VO;accept;date for meeting;;
accept hold;;VO;accept;hold;;
accept insurance;;VO;accept;insurance;;
accept lo;;VO;accept;lo;;
accept or reject claim;;VO;accept reject;claim;;
accept order;;VO;accept;order;;
accept payment;;VO;accept;payment;;
accept payments and generate invoice;;VO;accept generate;payments / invoice;;
accept project;;VO;accept;project;;
accept terms and conditions and create account;;VO;accept create;terms / conditions / account;;
acceptance of marketing plan and budget;;AN;acceptance;of marketing plan and budget;;
accepted order;;DES / EVENT;order;accepted;;
accepting the candidate and sending the letter to charles;;AN;accepting sending;the candidate / the letter;to charles;
accepts application;;DES / EVENT;accepts;application;;
accepts request;;DES / EVENT;accepts;request;;
access details;;VO;access;details;;
access event page;;VO;access;event page;;
access event service;;VO;access;event service;;
access flight centre website;;VO;access;flight centre website;;
access shopping cart;;VO;access;shopping cart;;
accident occurs;;DES / EVENT;occurs;accident;;
account created;;DES / EVENT;created;account;;
account login / register;;AN;login register;account;;
account registration request;;AN;request;account registration;;
account request received;;DES / EVENT;received;account request;;
account successfully created and welcome screen;;DES / EVENT;created;account / welcome screen;;
accounting;;AN;accounting;;;
achieve invoices per vendor;;VO;achieve;invoices per vendor;;
acknowledge;;VO;acknowledge;;;
acknowledge and consider;;VO;acknowledge consider;acknoledge and;;
acknowledge and consider;;VO;acknowledge consider;;;
acknowledge outcome of request;;VO;acknowledge;outcome;of request;
acquire approval for restricted goods or firearms;;VO;acquire;approval;for restricted goods or firearms;
acquire information from check in staff;;VO;acquire;information;from check in staff;
acquire lag bag and instruction;;VO;acquire;lag bag and instruction;;
acquire stamp for refund later at trs booth;;VO;acquire;stamp;for refund later at trs booth;
acquire trs eligibility decision;;VO;acquire;trs eligibility decision;;
action plan and change management;;AN;plan management;action / change;;
activate account;;VO;activate;account;;
activate monsters;;VO;activate;monsters;;
activate the account;;VO;activate;the account;;
activate user;;VO;activate;user;;
add a personal message;;VO;add;a personal message;;
add all monsters to waiting bag;;VO;add;all monsters;to waiting bag;
add child;;VO;add;child;;
add club name;;VO;add;club name;;
add clubs;;VO;add;clubs;;
add contacts into the group;;VO;add;contacts;into the group;
add contract to database & start contract fulfilment;;VO;add;contract;to database & start contract fulfilment;
add datai;;VO;add;datai;;
add datail;;VO;add;datail;;
add dates to calendars;;VO;add;dates;to calendars;
add detail;;VO;add;detail;;
add details;;VO;add;details;;
add divisions;;VO;add;divisions;;
add draft dates;;VO;add;draft dates;;
add high priority invoice to outbox;;VO;add;high priority invoice;to outbox;
add invoice to outbox;;VO;add;invoice;to outbox;
add item to cart;;VO;add;item;to cart;
add league details;;VO;add;league details;;
add leagues;;VO;add;leagues;;
add letter to the collection;;VO;add;letter;to the collection;
add medical incidents;;VO;add;medical incidents;;
add member to register;;VO;add;member;to register;
add new invoices to the bottom of your invoice batch;;VO;add;new invoices;to the bottom of your invoice batch;
add new member to register;;VO;add;new member;to register;
add new member to the member register;;VO;add;new member;to the member register;
add new team;;VO;add;new team;;
add new vendor master record;;VO;add;new vendor master record;;
add number & date to letter book;;VO;add;number & date;to letter book;
add over head costs;;VO;add;over head costs;;
add overhead cost;;VO;add;overhead cost;;
add overhead cost;;VO;add;overhead cost;;
add overhead cost;;VO;add;overheadcost;;
add overhead costs;;VO;add;overhead  costs;;
add overhead costs;;VO;add;overhead costs;;
add overhead costs;;VO;add;overheadcosts;;
add pagenwork and move package to pick area;;VO;add move;pagenwork / package;to pick area;
add paperwork and move package to pick area;;VO;add move;pagenwork / package;to pick area;
add paperwork and movepackage to pick area;;VO;add move;pagenwork / package;to pick area;
add red stamp;;VO;add;red stamp;;
add registration into city tours;;VO;add;registration into city;tours;
add registration into preparation courses;;VO;add;registration;into preparation courses;
add requested car to the list;;VO;add;requested car;to the list;
add sap number to invoice entry form;;VO;add;sap number;to invoice entry form;
add sap vendor number in invoice entry form;;VO;add;sap vendor number;in invoice entry form;
add sap vendor number to invoice entry form;;VO;add;sap vendor number;to invoice entry form;
add sap vendor number to the sap invoice entry form;;VO;add;sap vendor number;to the sap invoice entry form;
add seasons;;VO;add;seasons;;
add some seasoning;;VO;add;some seasoning;;
add student details to class list for course;;VO;add;student details;to class list for course;
add tax;;VO;add;tax;;
add to cart;;VO;add;;to cart;
add to invoice entry form;;VO;add;;to invoice entry form;
add to list of docs to be signed;;VO;add;;to list of docs to be signed;
add to waiting list;;VO;add;;to waiting list;
add to wish list;;VO;add;;to wish list;
add vendor number;;VO;add;vendor number;;
add worker;;VO;add;worker;;
added overhead cost;;DES / EVENT;added;overhead cost;;
adding amount to the member register;;AN;adding;amount to the member register;;
adding member to member register;;AN;adding;member to member register;;
adding overhead cost;;AN;adding;overhead cost;;
adding the overhead cost;;AN;adding;the overhead cost;;
adding the overhead cost;;AN;adding;the overhead cost;;
adding to calendar;;AN;adding;to calender;;
addition of the missing data;;AN;addition;of the missing data;;
additional authorization of service;;AN;authorization;of service;;
additional objective judgment;;AN;judgment;;;
adds in the member register;;DES / EVENT;adds;member register;;
adds incoming mail num & date records letter archives it;;DES / EVENT;archives;incoming mail num & date records letter;;
adds new member to the member register;;DES / EVENT;register;adds new member to the member;;
adequate security (12.5%);;NA;(12.5%);adequate security;;
adjust luggage to accommodate extra lags;;VO;adjust;luggage;to accommodate extra lags;
adjust luggage to accomodate extra lags;;VO;adjust;luggage;to accomodate extra lags;
adjust pr plan according to guerilla activities;;VO;adjust;pr plan according;to guerilla activities;
adjust stock level;;VO;adjust;stock level;;
adjust surcharges and discounts by negotiating with customer;;VO;adjust;surcharges and discounts;by negotiating with customer;
adult;;NA;;;;
advertise job;;VO;advertise;job;;
advertise position;;VO;advertise;position;;
advertise through agencies;;VO;advertise;;through agencies;
advertise through external nga.net;;VO;advertise;;through external nga.net;
advertise through external nta;;VO;advertise;;through external nta;
advertise through internal nga.net;;VO;advertise;;through internal nga.net;
advertise through internal nta;;VO;advertise;;through internal nta;
advise applicants;;VO;advise;applicants;;
advise change co-ordinator of result;;VO;advise;change co-ordinator of result;;
advise manager about signed appointment leeter;;VO;advise;manager;about signed appointment leeter;
advise of ineligibility;;VOS;advise;of ineligibility;;
advise passenger whether lags are within acceptable limits;;VO;advise;passenger;whether lags are within acceptable limits;
advise that goods cannot be taken;;VO;advise;;that goods cannot be taken;
advising applicants & receiving applications in temporary centers;;AN;advising receiving;applicants / applications;in temporary centers;
advisor examine request;;AN;request;advisor examine;;
agent review;;AN;review;agent;;
aggregate demand forecast;;VO;aggregate;demand forecast;;
aggregate demand of all markets;;VO;aggregate;demand;of all markets;
agree on details;;VO;agree on;details;;
agree on domain;;VO;agree on;domain;;
agree on payment conditions;;VO;agree on;payment conditions;;
agree on team field;;VO;agree on;team field;;
agree on technical approach;;VO;agree on;technical approach;;
agree to terms and conditions;;VO;agree to;terms and conditions;;
agree upon a tem field;;VO;agree upon;a tem field;;
agree upon team field;;VO;agree upon;team field;;
airport checkout possiblities;;NA;possiblities;airport checkout;;
alert technical engineer;;VO;alert;technical engineer;;
alert tevhnical engineer;;VO;alert;tevhnical engineer;;
alert the technical engineer;;VO;alert;the technical engineer;;
all documents available;;DES / EVENT;available;all documents;;
all parties accept;;DES / EVENT;accept;all parties;;
all professor accept the time;;DES / EVENT;accept;all professor;;
allocate attonery;;VO;allocate;attonery;;
