M_ID;M_CODE;Label;Split;Checked;Style;Action;Action Mod;Business Object;VP;Tags;PARSE
184;1Im_lhqh;a-tape import;;x;AN_NP;import;;a-tape;false;;(ROOT (NP (JJ a-tape) (NN import)))
297;1Pe_me7s;absence entitlement accrual;;x;AN_NP;accrue;;absence entitlement;false;;(ROOT (NP (NN absence) (NN entitlement) (NN accrual)))
297;1Pe_me7s;absence entitlement compensation;;x;AN_NP;compensate;;absence entitlement;false;;(ROOT (NP (NN absence) (NN entitlement) (NN compensation)))
96;1En_cq52;accident;;x;NA;;;accident;false;;(ROOT (NP (NN accident)))
185;1Im_ljm4;activating rent adjustment ( including approval );;;AN_ING;activate;;rent adjustment;true;;(ROOT (S (VP (VBG activating) (NP (NN rent) (NN adjustment) (PRN (-LRB- -LRB-) (PP (VBG including) (NP (NN approval))) (-RRB- -RRB-))))))
133;1Ex_e334;applying consolidation rules;;;AN_ING;apply;;consolidation rules;true;;(ROOT (S (VP (VBG applying) (NP (NN consolidation) (NNS rules)))))
174;1Ex_eu1x;account balance interest calculation ( g/l );;x;AN_NP;calculate;;account balance interest;false;;(ROOT (NP (NN account) (NN balance) (NN interest) (NN calculation) (PRN (-LRB- -LRB-) (ADJP (JJ g\/l)) (-RRB- -RRB-))))
177;1Ex_exkt;account balance interest calculation for general ledger;;x;AN_NP;calculate;;account balance interest;false;;(ROOT (FRAG (NP (NN account) (NN balance) (NN interest) (NN calculation)) (PP (IN for) (NP (JJ general) (NN ledger)))))
517;1Ve_57p5;billing returnable packaging;;;AN_ING;bill;;returnable packaging;true;;(ROOT (S (VP (VBG billing) (NP (JJ returnable) (NN packaging)))))
184;1Im_lhqh;carrying out service charge settlement;;;AN_ING;carry out;;service charge settlement;true;;(ROOT (S (VP (VBG carrying) (PRT (RP out)) (NP (NN service) (NN charge) (NN settlement)))))
487;1Un_jzgs;creating dimensions;;;AN_ING;create;;dimensions;true;;(ROOT (S (VP (VBG creating) (NP (NNS dimensions)))))
186;1Im_lmu3;account maintenance;;x;AN_NP;maintain;;account;false;;(ROOT (NP (NN account) (NN maintenance)))
427;1Tr_ez2f;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
439;1Tr_fy8q;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
442;1Tr_g42t;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
446;1Tr_g5zr;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
451;1Tr_ga4d;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
455;1Tr_gd86;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
460;1Tr_gh06;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
464;1Tr_gjb3;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
468;1Tr_gm2d;accounting;;x;AN_NP;account;;;false;;(ROOT (NP (NN accounting)))
115;1Er_hsto;accrual calculation in cost center accounting ( percentage method );;x;AN_NP;calculate;;accrual;false;;(ROOT (NP (NN accrual) (NN calculation) (PP (IN in) (NP (NN cost) (NN center) (NN accounting) (PRN (-LRB- -LRB-) (NP (NN percentage) (NN method)) (-RRB- -RRB-))))))
115;1Er_hsto;accrual calculation in cost center accounting ( target = actual method );;x;AN_NP;calculate;;accrual;false;;(ROOT (FRAG (NP (NN accrual) (NN calculation)) (PP (IN in) (NP (NN cost) (NN center) (NN accounting) (PRN (-LRB- -LRB-) (S (VP (VB target) (S (VP (SYM =) (NP (JJ actual) (NN method)))))) (-RRB- -RRB-))))))
462;1Tr_gi0l;accrual / deferral;;x;AN_NP;accrue, defer;;interest;false;;(ROOT (NP (NNP accrual) (NNP \/) (NNP deferral)))
