Model ID;Label;Split;Style;Action;Business Object;Addition;Tags
59;12 funnel management;;AN;manage;funnel 12ly;;
591;12 funnel management;;AN;manage;funnel 12ly;;
615;12 funnel management;;AN;manage;funnel 12ly;;
655;12 funnel management;;AN;manage;funnel 12ly;;
82;12 funnel management;;AN;manage;funnel 12ly;;
87;1st line support;;AN;support;line 1stly;;
59;2 converged product fulfillment;;AN;fulfill;converged product 2ly;;
591;2 converged product fulfillment;;AN;fulfill;converged product 2ly;;
82;2 converged product fulfillment;;AN;fulfill;converged product 2ly;;
615;2 converged product fulfillment order to cash;;AN;close;customer order;to cash;
655;2 converged product fulfillment order to cash;;AN;close;customer order;to cash;
59;21 order intake and planning;;AN;intake, plan;21 order;;
82;21 order intake and planning;;AN;intake, plan;21 order;;
591;21 order intake and planning;;AN;intake, plan;21 order;;
615;21 order intake and planning;;AN;intake, plan;21 order;;
655;21 order intake and planning;;AN;intake, plan;21 order;;
59;22 customer setup and configuration;;AN;setup, configure;22 customer;;
82;22 customer setup and configuration;;AN;setup, configure;22 customer;;
591;22 customer setup and configuration;;AN;setup, configure;22 customer;;
615;22 customer setup and configuration;;AN;setup, configure;22 customer;;
655;22 customer setup and configuration;;AN;setup, configure;22 customer;;
615;23 connectivity / access fulfillment;;AN;fulfill;connectivity / access 23ly;;
655;23 connectivity / access fulfillment;;AN;fulfill;connectivity / access 23ly;;
59;23 connectivity fulfillment;;AN;fulfill;connectivity 23ly;;
82;23 connectivity fulfillment;;AN;fulfill;connectivity 23ly;;
591;23 connectivity fulfillment;;AN;fulfill;connectivity 23ly;;
59;24 number porting and migration;;AN;port;24 number;;
82;24 number porting and migration;;AN;port;24 number;;
591;24 number porting and migration;;AN;port;24 number;;
615;24 number porting and migration;;AN;port;24 number;;
655;24 number porting and migration;;AN;port;24 number;;
59;25 customer approval and handover to support;;AN;approve and handover;customer;;
82;25 customer approval and handover to support;;AN;approve and handover;customer;;
591;25 customer approval and handover to support;;AN;approve and handover;customer;;
615;25 customer approval and handover to support;;AN;approve and handover;customer;;
655;25 customer approval and handover to support;;AN;approve and handover;customer;;
87;2nd line support;;AN;support;2nd line;;
599;3rd line it support;;AN;support;line it 3rdly;;
92;411 create test plan configuration change;;AN;change;test plan configuration;;
1;414 test configuration change;;AN;change;414 test configuration;;
92;422 create testscripts configuration change;;AN;change;testscripts configuration;;
81;422 execute qa check;;AN;check;422 execute qa;;
59;43 customer sla management;;AN;manage;customer sla 43ly;;
82;43 customer sla management;;AN;manage;customer sla 43ly;;
591;43 customer sla management;;AN;manage;customer sla 43ly;;
615;43 customer sla management;;AN;manage;customer sla 43ly;;
655;43 customer sla management;;AN;manage;customer sla 43ly;;
518;4g support;;AN;support;4g;;
521;4g support;;AN;support;4g;;
59;51 network monitoring;;AN;monitor;network 51ly;;
82;51 network monitoring;;AN;monitor;network 51ly;;
591;51 network monitoring;;AN;monitor;network 51ly;;
615;51 network monitoring;;AN;monitor;network 51ly;;
655;51 network monitoring;;AN;monitor;network 51ly;;
59;52 change management;;AN;manage;change 52ly;;
591;52 change management;;AN;manage;change 52ly;;
615;52 change management;;AN;manage;change 52ly;;
655;52 change management;;AN;manage;change 52ly;;
82;52 change management;;AN;manage;change 52ly;;
59;53 capacity management;;AN;manage;capacity 53ly;;
591;53 capacity management;;AN;manage;capacity 53ly;;
615;53 capacity management;;AN;manage;capacity 53ly;;
655;53 capacity management;;AN;manage;capacity 53ly;;
82;53 capacity management;;AN;manage;capacity 53ly;;
59;54 configuration management;;AN;manage;configuration 54ly;;
82;54 configuration management;;AN;manage;configuration 54ly;;
591;54 configuration management;;AN;manage;configuration 54ly;;
615;54 configuration management;;AN;manage;configuration 54ly;;
655;54 configuration management;;AN;manage;configuration 54ly;;
59;55 security management;;AN;manage;security 55ly;;
82;55 security management;;AN;manage;security 55ly;;
591;55 security management;;AN;manage;security 55ly;;
615;55 security management;;AN;manage;security 55ly;;
655;55 security management;;AN;manage;security 55ly;;
59;6 billing and collections;;AN;bill;6;;
82;6 billing and collections;;AN;bill;6;;
591;6 billing and collections;;AN;bill;6;;
615;6 billing and collections;;AN;bill;6;;
655;6 billing and collections;;AN;bill;6;;
59;61 customer billing and collections;;AN;bill;61 customer;;
82;61 customer billing and collections;;AN;bill;61 customer;;
591;61 customer billing and collections;;AN;bill;61 customer;;
615;61 customer billing and collections;;AN;bill;61 customer;;
655;61 customer billing and collections;;AN;bill;61 customer;;
59;62 wholesale billing and collections;;AN;bill;62 wholesale;;
82;62 wholesale billing and collections;;AN;bill;62 wholesale;;
591;62 wholesale billing and collections;;AN;bill;62 wholesale;;
615;62 wholesale billing and collections;;AN;bill;62 wholesale;;
655;62 wholesale billing and collections;;AN;bill;62 wholesale;;
59;7 partner / supplier management;;AN;manage;partner / supplier 7ly;;
82;7 partner / supplier management;;AN;manage;partner / supplier 7ly;;
615;7 partner / supplier management;;AN;manage;partner / supplier 7ly;;
655;7 partner / supplier management;;AN;manage;partner / supplier 7ly;;
591;7 partner / supplier management;;AN;manage;partner / supplier 7ly;;
62;accept and count usage;;VO;accept and count;usage;;
349;accept and count usage;;VO;accept and count;usage;;
889;accept and register order;;VO;accept and register;order;;
814;accept case;;VO;accept;case;;
875;accept case;;VO;accept;case;;
875;accept case;;VO;accept;case;;
84;accept case from ciboodle worklist;;VO;accept;case;from ciboodle worklist;
814;accept case from ciboodle worklist;;VO;accept;case;from ciboodle worklist;
937;accept ciboodle case;;VO;accept;ciboodle case;;
922;accept m2m solutions;;VO;accept;m2m solutions;;
78;accept order;;VO;accept;order;;
783;accept order and start project;;VO;accept;order and start project;;
959;accept order and start project;;VO;accept;order and start project;;
