Label;Split;Style;Tags
abandoned;['abandoned'];DES;DESV
abased;['abased'];DES;DESV
abated;['abated'];DES;DESV
abbreviated;['abbreviated'];DES;DESV
abdicated;['abdicated'];DES;DESV
abducted;['abducted'];DES;DESV
abetted;['abetted'];DES;DESV
abhorred;['abhorred'];DES;DESV
abjured;['abjured'];DES;DESV
abode;['abode'];DES;DESV
abolished;['abolished'];DES;DESV
abominated;['abominated'];DES;DESV
aborted;['aborted'];DES;DESV
abounded;['abounded'];DES;DESV
abraded;['abraded'];DES;DESV
abridged;['abridged'];DES;DESV
abrogated;['abrogated'];DES;DESV
abseiled;['abseiled'];DES;DESV
absented;['absented'];DES;DESV
absolved;['absolved'];DES;DESV
absorbed;['absorbed'];DES;DESV
abstained;['abstained'];DES;DESV
abstracted;['abstracted'];DES;DESV
abused;['abused'];DES;DESV
abutted;['abutted'];DES;DESV
acceded;['acceded'];DES;DESV
accelerated;['accelerated'];DES;DESV
accented;['accented'];DES;DESV
accentuated;['accentuated'];DES;DESV
accepted;['accepted'];DES;DESV
acclaimed;['acclaimed'];DES;DESV
acclimatized;['acclimatized'];DES;DESV
accommodated;['accommodated'];DES;DESV
accompanied;['accompanied'];DES;DESV
accomplished;['accomplished'];DES;DESV
accorded;['accorded'];DES;DESV
accosted;['accosted'];DES;DESV
accounted;['accounted'];DES;DESV
accredited;['accredited'];DES;DESV
accrued;['accrued'];DES;DESV
accumulated;['accumulated'];DES;DESV
accused;['accused'];DES;DESV
accustomed;['accustomed'];DES;DESV
ached;['ached'];DES;DESV
achieved;['achieved'];DES;DESV
acidified;['acidified'];DES;DESV
acknowledged;['acknowledged'];DES;DESV
acquiesced;['acquiesced'];DES;DESV
acquired;['acquired'];DES;DESV
acquitted;['acquitted'];DES;DESV
acted;['acted'];DES;DESV
activated;['activated'];DES;DESV
actuated;['actuated'];DES;DESV
adapted;['adapted'];DES;DESV
added;['added'];DES;DESV
addled;['addled'];DES;DESV
addrest;['addrest'];DES;DESV
adhered;['adhered'];DES;DESV
adjoined;['adjoined'];DES;DESV
adjourned;['adjourned'];DES;DESV
adjudged;['adjudged'];DES;DESV
adjured;['adjured'];DES;DESV
adjusted;['adjusted'];DES;DESV
administered;['administered'];DES;DESV
administrated;['administrated'];DES;DESV
admired;['admired'];DES;DESV
admitted;['admitted'];DES;DESV
admonished;['admonished'];DES;DESV
adopted;['adopted'];DES;DESV
adored;['adored'];DES;DESV
adorned;['adorned'];DES;DESV
adulated;['adulated'];DES;DESV
adulterated;['adulterated'];DES;DESV
advanced;['advanced'];DES;DESV
advantaged;['advantaged'];DES;DESV
adventured;['adventured'];DES;DESV
adverted;['adverted'];DES;DESV
advised;['advised'];DES;DESV
advocated;['advocated'];DES;DESV
aerated;['aerated'];DES;DESV
affected;['affected'];DES;DESV
affiliated;['affiliated'];DES;DESV
affiliated;['affiliated'];DES;DESV
affirmed;['affirmed'];DES;DESV
affixed;['affixed'];DES;DESV
afflicted;['afflicted'];DES;DESV
afforded;['afforded'];DES;DESV
afforested;['afforested'];DES;DESV
affronted;['affronted'];DES;DESV
aged;['aged'];DES;DESV
agglomerated;['agglomerated'];DES;DESV
agglutinated;['agglutinated'];DES;DESV
aggravated;['aggravated'];DES;DESV
aggregated;['aggregated'];DES;DESV
agitated;['agitated'];DES;DESV
agonized;['agonized'];DES;DESV
agreed;['agreed'];DES;DESV
aided;['aided'];DES;DESV
ailed;['ailed'];DES;DESV
aimed;['aimed'];DES;DESV
aired;['aired'];DES;DESV
airmailed;['airmailed'];DES;DESV
alarmed;['alarmed'];DES;DESV
alcoholized;['alcoholized'];DES;DESV
alerted;['alerted'];DES;DESV
alienated;['alienated'];DES;DESV
alighted;['alighted'];DES;DESV
allayed;['allayed'];DES;DESV
alleged;['alleged'];DES;DESV
alleviated;['alleviated'];DES;DESV
allied;['allied'];DES;DESV
allocated;['allocated'];DES;DESV
allotted;['allotted'];DES;DESV
allowed;['allowed'];DES;DESV
alluded;['alluded'];DES;DESV
allured;['allured'];DES;DESV
alphabetized;['alphabetized'];DES;DESV
altered;['altered'];DES;DESV
alternated;['alternated'];DES;DESV
amalgamated;['amalgamated'];DES;DESV
amassed;['amassed'];DES;DESV
amazed;['amazed'];DES;DESV
ambled;['ambled'];DES;DESV
ambushed;['ambushed'];DES;DESV
ameliorated;['ameliorated'];DES;DESV
amended;['amended'];DES;DESV
amortized;['amortized'];DES;DESV
amounted;['amounted'];DES;DESV
amplified;['amplified'];DES;DESV
amputated;['amputated'];DES;DESV
amused;['amused'];DES;DESV
anathematized;['anathematized'];DES;DESV
anatomized;['anatomized'];DES;DESV
anchored;['anchored'];DES;DESV
anesthetized;['anesthetized'];DES;DESV
angered;['angered'];DES;DESV
angled;['angled'];DES;DESV
anglicized;['anglicized'];DES;DESV
animated;['animated'];DES;DESV
annexed;['annexed'];DES;DESV
annihilated;['annihilated'];DES;DESV
annotated;['annotated'];DES;DESV
announced;['announced'];DES;DESV
annoyed;['annoyed'];DES;DESV
annulled;['annulled'];DES;DESV
anointed;['anointed'];DES;DESV
answered;['answered'];DES;DESV
antagonized;['antagonized'];DES;DESV
antedated;['antedated'];DES;DESV
anticipated;['anticipated'];DES;DESV
aped;['aped'];DES;DESV
apologized;['apologized'];DES;DESV
appalled;['appalled'];DES;DESV
appealed;['appealed'];DES;DESV
appeared;['appeared'];DES;DESV
appeased;['appeased'];DES;DESV
appended;['appended'];DES;DESV
appertained;['appertained'];DES;DESV
applauded;['applauded'];DES;DESV
applied;['applied'];DES;DESV
appointed;['appointed'];DES;DESV
apportioned;['apportioned'];DES;DESV
appraised;['appraised'];DES;DESV
appreciated;['appreciated'];DES;DESV
apprehended;['apprehended'];DES;DESV
apprenticed;['apprenticed'];DES;DESV
approached;['approached'];DES;DESV
approbated;['approbated'];DES;DESV
appropriated;['appropriated'];DES;DESV
approved;['approved'];DES;DESV
approximated;['approximated'];DES;DESV
arbitrated;['arbitrated'];DES;DESV
arched;['arched'];DES;DESV
arcked;['arcked'];DES;DESV
argued;['argued'];DES;DESV
arisen;['arisen'];DES;DESV
armed;['armed'];DES;DESV
aroused;['aroused'];DES;DESV
arraigned;['arraigned'];DES;DESV
arranged;['arranged'];DES;DESV
arrayed;['arrayed'];DES;DESV
arrested;['arrested'];DES;DESV
arrived;['arrived'];DES;DESV
arrogated;['arrogated'];DES;DESV
articulated;['articulated'];DES;DESV
ascertained;['ascertained'];DES;DESV
