Label;Split;Style;Tags
reimburse;['reimburse'];VOS;VOV
reroute;['reroute'];VOS;VOV
restart;['restart'];VOS;VOV
substitute;['substitute'];VOS;VOV
rollover;['rollover'];VOS;VOV
port;['port'];VOS;VOV
lookup;['lookup'];VOS;VOV
abandon;['abandon'];VOS;VOV
abase;['abase'];VOS;VOV
abate;['abate'];VOS;VOV
abbreviate;['abbreviate'];VOS;VOV
abdicate;['abdicate'];VOS;VOV
abduct;['abduct'];VOS;VOV
abet;['abet'];VOS;VOV
abhor;['abhor'];VOS;VOV
abide;['abide'];VOS;VOV
abjure;['abjure'];VOS;VOV
abolish;['abolish'];VOS;VOV
abominate;['abominate'];VOS;VOV
abort;['abort'];VOS;VOV
abound;['abound'];VOS;VOV
abrade;['abrade'];VOS;VOV
abridge;['abridge'];VOS;VOV
abrogate;['abrogate'];VOS;VOV
abseil;['abseil'];VOS;VOV
absent;['absent'];VOS;VOV
absolve;['absolve'];VOS;VOV
absorb;['absorb'];VOS;VOV
abstain;['abstain'];VOS;VOV
abstract;['abstract'];VOS;VOV
abuse;['abuse'];VOS;VOV
abut;['abut'];VOS;VOV
accede;['accede'];VOS;VOV
accelerate;['accelerate'];VOS;VOV
accent;['accent'];VOS;VOV
accentuate;['accentuate'];VOS;VOV
accept as;['accept as'];VOS;VOV
acclaim;['acclaim'];VOS;VOV
acclimatise ;['acclimatise '];VOS;VOV
acclimatize ;['acclimatize '];VOS;VOV
accommodate;['accommodate'];VOS;VOV
accompany;['accompany'];VOS;VOV
accomplish;['accomplish'];VOS;VOV
accord;['accord'];VOS;VOV
accost;['accost'];VOS;VOV
account;['account'];VOS;VOV
accredit;['accredit'];VOS;VOV
accrue;['accrue'];VOS;VOV
accumulate;['accumulate'];VOS;VOV
accuse;['accuse'];VOS;VOV
accustom;['accustom'];VOS;VOV
ache;['ache'];VOS;VOV
achieve;['achieve'];VOS;VOV
acidify;['acidify'];VOS;VOV
acknowledge;['acknowledge'];VOS;VOV
acquiesce;['acquiesce'];VOS;VOV
acquire;['acquire'];VOS;VOV
acquit;['acquit'];VOS;VOV
act;['act'];VOS;VOV
activate;['activate'];VOS;VOV
actuate;['actuate'];VOS;VOV
ad-lib;['ad-lib'];VOS;VOV
adapt;['adapt'];VOS;VOV
add;['add'];VOS;VOV
addle;['addle'];VOS;VOV
address;['address'];VOS;VOV
adhere;['adhere'];VOS;VOV
adjoin;['adjoin'];VOS;VOV
adjourn;['adjourn'];VOS;VOV
adjudge;['adjudge'];VOS;VOV
adjure;['adjure'];VOS;VOV
adjust;['adjust'];VOS;VOV
administer;['administer'];VOS;VOV
administrate;['administrate'];VOS;VOV
admire;['admire'];VOS;VOV
admit;['admit'];VOS;VOV
admonish;['admonish'];VOS;VOV
adopt;['adopt'];VOS;VOV
adore;['adore'];VOS;VOV
adorn;['adorn'];VOS;VOV
adulate;['adulate'];VOS;VOV
adulterate;['adulterate'];VOS;VOV
advance;['advance'];VOS;VOV
advantage;['advantage'];VOS;VOV
adventure;['adventure'];VOS;VOV
advert;['advert'];VOS;VOV
advertise;['advertise'];VOS;VOV
advise;['advise'];VOS;VOV
advocate;['advocate'];VOS;VOV
aerate;['aerate'];VOS;VOV
affect;['affect'];VOS;VOV
affiliate with;['affiliate with'];VOS;VOV
affiliate to;['affiliate to'];VOS;VOV
affirm;['affirm'];VOS;VOV
affix;['affix'];VOS;VOV
afflict;['afflict'];VOS;VOV
afford;['afford'];VOS;VOV
afforest;['afforest'];VOS;VOV
affront;['affront'];VOS;VOV
age;['age'];VOS;VOV
agglomerate;['agglomerate'];VOS;VOV
agglutinate;['agglutinate'];VOS;VOV
aggravate;['aggravate'];VOS;VOV
aggregate;['aggregate'];VOS;VOV
agitate;['agitate'];VOS;VOV
agonize ;['agonize '];VOS;VOV
agonise ;['agonise '];VOS;VOV
agree;['agree'];VOS;VOV
aid;['aid'];VOS;VOV
ail;['ail'];VOS;VOV
aim at;['aim at'];VOS;VOV
air;['air'];VOS;VOV
airmail;['airmail'];VOS;VOV
alarm;['alarm'];VOS;VOV
alcoholize ;['alcoholize '];VOS;VOV
alcoholise ;['alcoholise '];VOS;VOV
alert;['alert'];VOS;VOV
alienate;['alienate'];VOS;VOV
alight;['alight'];VOS;VOV
align;['align'];VOS;VOV
allay;['allay'];VOS;VOV
allege;['allege'];VOS;VOV
alleviate;['alleviate'];VOS;VOV
allocate;['allocate'];VOS;VOV
